customer_id,customer_name,customer_segment,city,state,country,industry
CUST00001,Aditya Solutions 001,Enterprise,Delhi,Delhi,India,Electronics
CUST00002,Anaya Trading 002,SMB,Jaipur,Rajasthan,India,Automotive
CUST00003,Riya Enterprises 003,Retail,Jaipur,Rajasthan,India,Safety
CUST00004,Anaya Industries 004,Enterprise,Lucknow,Uttar Pradesh,India,Electronics
CUST00005,Anaya Trading 005,SMB,Mumbai,Maharashtra,India,Electronics
CUST00006,Ishaan Industries 006,Retail,Bengaluru,Karnataka,India,Automotive
CUST00007,Aarav Enterprises 007,Enterprise,Hyderabad,Telangana,India,Industrial
CUST00008,Aditya Systems 008,SMB,Delhi,Delhi,India,Automotive
CUST00009,Meera Enterprises 009,Enterprise,Mumbai,Maharashtra,India,IT
CUST00010,Ishaan Trading 010,SMB,Indore,Madhya Pradesh,India,Electronics
CUST00011,Kabir Solutions 011,Enterprise,Lucknow,Uttar Pradesh,India,Automotive
CUST00012,Aarav Industries 012,Enterprise,Jaipur,Rajasthan,India,Packaging
CUST00013,Anaya Systems 013,Retail,Pune,Maharashtra,India,Automotive
CUST00014,Vivaan Solutions 014,SMB,Chennai,Tamil Nadu,India,Automotive
CUST00015,Vivaan Systems 015,SMB,Jaipur,Rajasthan,India,Industrial
CUST00016,Meera Trading 016,SMB,Jaipur,Rajasthan,India,IT
CUST00017,Aarav Retail 017,Enterprise,Delhi,Delhi,India,Safety
CUST00018,Riya Industries 018,SMB,Indore,Madhya Pradesh,India,Packaging
CUST00019,Aarav Systems 019,Retail,Kolkata,West Bengal,India,Industrial
CUST00020,Vivaan Systems 020,Enterprise,Jaipur,Rajasthan,India,Automotive
CUST00021,Kabir Enterprises 021,Retail,Indore,Madhya Pradesh,India,Automotive
CUST00022,Meera Solutions 022,SMB,Kochi,Kerala,India,Packaging
CUST00023,Ishaan Enterprises 023,Retail,Hyderabad,Telangana,India,Packaging
CUST00024,Anaya Systems 024,Retail,Lucknow,Uttar Pradesh,India,Safety
CUST00025,Aditya Solutions 025,Retail,Chennai,Tamil Nadu,India,Electronics
CUST00026,Meera Solutions 026,SMB,Ahmedabad,Gujarat,India,IT
CUST00027,Ishaan Retail 027,SMB,Chennai,Tamil Nadu,India,Safety
CUST00028,Aarav Trading 028,Enterprise,Ahmedabad,Gujarat,India,Electronics
CUST00029,Ishaan Trading 029,SMB,Ahmedabad,Gujarat,India,Automotive
CUST00030,Anaya Enterprises 030,SMB,Kolkata,West Bengal,India,Electronics
CUST00031,Meera Enterprises 031,Enterprise,Pune,Maharashtra,India,Industrial
CUST00032,Riya Trading 032,SMB,Pune,Maharashtra,India,Electronics
CUST00033,Aarav Retail 033,SMB,Chennai,Tamil Nadu,India,IT
CUST00034,Anaya Retail 034,SMB,Mumbai,Maharashtra,India,Industrial
CUST00035,Aditya Systems 035,SMB,Lucknow,Uttar Pradesh,India,Industrial
CUST00036,Anaya Enterprises 036,SMB,Chennai,Tamil Nadu,India,Industrial
CUST00037,Ishaan Industries 037,SMB,Delhi,Delhi,India,IT
CUST00038,Riya Systems 038,Enterprise,Delhi,Delhi,India,Packaging
CUST00039,Riya Enterprises 039,SMB,Delhi,Delhi,India,Electronics
CUST00040,Vivaan Trading 040,Retail,Chennai,Tamil Nadu,India,Packaging
CUST00041,Ishaan Enterprises 041,Enterprise,Pune,Maharashtra,India,Industrial
CUST00042,Vivaan Enterprises 042,SMB,Lucknow,Uttar Pradesh,India,Packaging
CUST00043,Anaya Solutions 043,Retail,Kolkata,West Bengal,India,Industrial
CUST00044,Kabir Solutions 044,Retail,Delhi,Delhi,India,Electronics
CUST00045,Anaya Retail 045,SMB,Delhi,Delhi,India,Electronics
CUST00046,Riya Retail 046,SMB,Bengaluru,Karnataka,India,Safety
CUST00047,Anaya Enterprises 047,Enterprise,Hyderabad,Telangana,India,Automotive
CUST00048,Ishaan Systems 048,SMB,Pune,Maharashtra,India,Automotive
CUST00049,Meera Retail 049,Enterprise,Jaipur,Rajasthan,India,Electronics
CUST00050,Meera Trading 050,Enterprise,Delhi,Delhi,India,IT
CUST00051,Vivaan Trading 051,Enterprise,Lucknow,Uttar Pradesh,India,Industrial
CUST00052,Aditya Solutions 052,Enterprise,Chennai,Tamil Nadu,India,Automotive
CUST00053,Anaya Industries 053,SMB,Mumbai,Maharashtra,India,Safety
CUST00054,Vivaan Enterprises 054,SMB,Delhi,Delhi,India,Safety
CUST00055,Meera Trading 055,SMB,Delhi,Delhi,India,Industrial
CUST00056,Meera Retail 056,Retail,Mumbai,Maharashtra,India,Packaging
CUST00057,Riya Industries 057,Retail,Mumbai,Maharashtra,India,Safety
CUST00058,Aarav Enterprises 058,SMB,Delhi,Delhi,India,Packaging
CUST00059,Aditya Retail 059,Enterprise,Mumbai,Maharashtra,India,Electronics
CUST00060,Aarav Industries 060,SMB,Indore,Madhya Pradesh,India,IT
CUST00061,Riya Enterprises 061,SMB,Bengaluru,Karnataka,India,Industrial
CUST00062,Kabir Industries 062,SMB,Lucknow,Uttar Pradesh,India,Electronics
CUST00063,Aarav Retail 063,Retail,Mumbai,Maharashtra,India,IT
CUST00064,Meera Industries 064,SMB,Hyderabad,Telangana,India,Automotive
CUST00065,Meera Systems 065,Retail,Hyderabad,Telangana,India,Packaging
CUST00066,Kabir Industries 066,SMB,Kochi,Kerala,India,Packaging
